Sector_score,Score_A,Risk_A,Score_B.1,District_Loss,Prob,Score,Inherent_Risk,CONTROL_RISK,Risk
3.89,0.6,2.508,0.2,2,0.2,2.4,8.574,0.4,1
3.89,0.2,0.0,0.2,2,0.2,2.0,2.554,0.4,0
3.89,0.2,0.102,0.2,2,0.2,2.0,1.548,0.4,0
3.89,0.2,0.0,0.6,2,0.2,4.4,17.53,0.4,1
3.89,0.2,0.0,0.2,2,0.2,2.0,1.416,0.4,0
3.89,0.2,0.0,0.2,2,0.2,2.0,2.156,0.4,0
3.89,0.4,0.44,0.2,2,0.2,3.2,31.774,0.4,1
3.89,0.6,5.1,0.4,2,0.2,4.2,18.034,0.4,1
3.89,0.6,5.04,0.4,2,0.2,4.2,17.206,0.4,1
3.89,0.6,2.388,0.2,2,0.2,2.4,4.372,0.4,0
3.89,0.6,3.258,0.2,2,0.2,3.6,12.004,0.4,1
3.89,0.6,9.228,0.2,2,0.4,4.0,35.704,1.2,1
3.89,0.6,3.282,0.2,2,0.4,3.6,14.392,0.8,1
3.89,0.4,0.436,0.2,2,0.2,2.2,1.906,0.4,0
3.89,0.2,0.0,0.2,2,0.2,2.0,1.5694,0.4,0
3.89,0.4,0.78,0.2,2,0.2,3.0,9.384,0.4,1
3.89,0.6,5.124,0.2,2,0.4,4.2,50.67,0.8,1
3.89,0.6,2.508,0.4,2,0.2,3.2,14.492,0.4,1
3.89,0.4,0.724,0.2,2,0.2,2.2,2.33,0.4,0
3.89,0.6,2.916,0.4,2,0.2,4.4,71.492,0.4,1
3.89,0.6,3.756,0.2,2,0.4,4.2,34.56,0.8,1
3.89,0.2,0.004,0.2,2,0.2,2.6,3.782,0.4,0
3.89,0.2,0.188,0.2,2,0.2,2.0,1.61,0.4,0
3.89,0.6,3.468,0.2,2,0.2,4.0,46.316,0.4,1
3.89,0.6,4.452,0.2,2,0.2,2.4,6.55,0.4,1
3.89,0.2,0.0,0.2,2,0.2,2.0,1.6214,0.4,0
3.89,0.6,4.11,0.2,2,0.2,3.6,24.858,0.4,1
3.89,0.2,0.0,0.2,2,0.2,2.0,1.606,0.4,0
3.89,0.2,0.0,0.2,2,0.2,2.2,4.262,0.4,0
3.89,0.6,1.44,0.2,2,0.2,3.6,13.05,0.4,1
3.89,0.2,0.0,0.2,2,0.2,2.4,92.856,0.4,1
3.89,0.2,0.0,0.2,2,0.2,2.0,1.968,0.4,0
3.89,0.2,0.0,0.2,2,0.2,2.0,2.562,0.4,0
3.89,0.2,0.0,0.2,2,0.2,2.0,1.486,0.4,0
3.89,0.2,0.0,0.2,2,0.2,2.0,1.768,0.4,0
3.89,0.6,5.406,0.2,2,0.2,3.8,22.566,0.4,1
3.89,0.2,0.0,0.2,2,0.2,2.0,1.41,0.4,0
3.89,0.6,7.17,0.2,2,0.2,4.0,46.718,0.4,1
3.89,0.2,0.0,0.2,2,0.2,2.4,19.92,0.4,1
3.89,0.2,0.124,0.2,2,0.2,2.0,1.95,0.4,0
3.89,0.2,0.0,0.2,2,0.2,2.0,2.378,0.4,0
3.89,0.2,0.0,0.2,2,0.2,2.0,1.4,0.4,0
3.89,0.4,0.528,0.2,2,0.2,2.2,1.94,0.4,0
3.89,0.2,0.0,0.2,2,0.2,2.0,2.092,0.4,0
3.89,0.2,0.0,0.2,2,0.2,3.6,86.306,0.4,1
3.89,0.2,0.0,0.2,2,0.2,2.0,1.604,0.4,0
3.89,0.2,0.0,0.2,2,0.6,4.0,27.5,1.6,1
3.89,0.6,1.77,0.2,2,0.2,3.4,99.946,0.4,1
3.89,0.4,0.788,0.2,2,0.2,3.0,10.782,1.2,1
3.89,0.2,0.0,0.2,2,0.2,3.2,12.688,0.4,1
3.89,0.2,0.0,0.2,2,0.2,2.2,4.698,0.4,0
3.89,0.2,0.0,0.2,2,0.2,2.0,2.224,0.4,0
3.89,0.6,3.792,0.2,2,0.2,3.2,12.12,0.4,1
3.89,0.2,0.0,0.2,2,0.2,2.0,1.642,0.4,0
3.89,0.2,0.0,0.2,2,0.2,3.0,32.86,0.4,1
3.89,0.6,8.424,0.2,2,0.2,3.8,19.886,0.4,1
3.89,0.6,4.002,0.4,2,0.6,4.4,19.604,1.6,1
3.89,0.2,0.0,0.2,2,0.2,2.0,1.75,0.4,0
3.89,0.2,0.0,0.2,2,0.2,2.0,1.552,0.4,0
3.89,0.4,0.504,0.2,2,0.2,2.2,1.914,0.4,0
3.89,0.2,0.0,0.2,2,0.2,2.0,1.418,0.4,0
3.89,0.2,0.0,0.2,2,0.2,2.4,11.05,0.4,1
3.89,0.6,2.856,0.2,2,0.4,3.8,12.59,0.8,1
3.89,0.2,0.0,0.2,2,0.2,2.0,1.414,0.4,0
3.89,0.6,8.352,0.2,2,0.2,2.4,10.202,0.4,1
3.89,0.4,0.428,0.2,2,0.2,2.2,1.828,0.4,0
3.89,0.2,0.0,0.2,2,0.2,2.0,1.578,0.4,0
3.89,0.2,0.0,0.6,2,0.2,3.2,36.8,0.4,1
3.89,0.6,6.0,0.4,2,0.6,4.8,61.652,2.2,1
3.89,0.6,2.544,0.2,2,0.2,3.4,13.582,0.4,1
3.89,0.6,7.362,0.2,2,0.2,3.8,54.514,0.4,1
3.89,0.2,0.0,0.2,2,0.2,2.0,1.862,0.4,0
3.89,0.6,7.62,0.2,2,0.2,2.8,16.29,0.4,1
3.89,0.2,0.0,0.2,2,0.4,3.8,48.438,0.8,1
3.89,0.4,0.796,0.2,2,0.2,3.8,20.808,0.4,1
3.89,0.2,0.01,0.4,2,0.2,2.8,63.984,0.4,1
3.89,0.2,0.0,0.2,2,0.2,2.6,4.496,0.4,0
3.89,0.2,0.0,0.2,2,0.2,2.0,1.4,0.4,0
3.89,0.2,0.148,0.2,2,0.2,2.0,1.748,0.4,0
3.89,0.2,0.0,0.2,2,0.2,2.0,1.516,0.4,0
3.89,0.6,5.076,0.2,2,0.6,4.2,52.012,2.0,1
3.89,0.2,0.084,0.2,2,0.2,2.0,1.582,0.4,0
3.89,0.2,0.002,0.4,4,0.2,3.0,25.172,0.8,1
3.89,0.6,4.11,0.4,4,0.2,4.4,49.076,0.8,1
3.89,0.6,3.222,0.2,4,0.2,3.6,18.766,0.8,1
3.89,0.6,2.958,0.4,4,0.2,4.0,16.32,0.8,1
3.89,0.4,0.488,0.2,4,0.2,2.4,2.3,0.8,0
3.89,0.2,0.0,0.2,4,0.2,2.2,1.97,0.8,0
3.89,0.6,9.432,0.6,6,0.2,5.2,55.47,1.2,1
3.89,0.6,2.97,0.2,6,0.4,4.2,31.828,1.6,1
3.89,0.2,0.0,0.2,6,0.2,2.4,2.228,1.2,1
3.89,0.4,0.476,0.2,6,0.2,3.8,10.87,1.2,1
3.89,0.2,0.0,0.2,6,0.2,2.6,4.976,1.2,1
3.89,0.2,0.0,0.2,6,0.2,2.4,2.684,1.2,1
3.89,0.6,3.882,0.2,6,0.2,4.4,28.552,1.2,1
3.89,0.4,0.532,0.2,6,0.2,2.6,2.772,1.2,1
3.89,0.2,0.0,0.2,6,0.2,2.4,2.42,1.2,1
3.89,0.6,1.542,0.2,2,0.4,2.8,7.264,0.8,1
3.89,0.2,0.0,0.2,2,0.2,2.0,1.776,0.4,0
3.89,0.2,0.154,0.2,2,0.2,3.6,52.758,0.4,1
3.89,0.6,3.138,0.2,2,0.2,3.4,18.534,0.4,1
3.89,0.6,3.954,0.2,2,0.4,4.2,40.848,0.8,1
3.89,0.6,4.308,0.2,2,0.2,4.0,73.736,0.4,1
3.89,0.4,0.4,0.2,2,0.2,2.2,1.872,0.4,0
3.89,0.2,0.0,0.2,2,0.2,2.0,1.412,0.4,0
3.89,0.6,1.578,0.2,2,0.2,2.4,3.488,0.4,0
3.89,0.2,0.0,0.2,2,0.2,2.0,1.574,0.4,0
3.89,0.6,6.576,0.2,2,0.4,4.2,54.384,0.8,1
3.89,0.2,0.0,0.2,2,0.2,2.0,1.446,0.4,0
3.41,0.6,2.55,0.4,2,0.2,4.2,35.736,0.4,1
3.41,0.4,0.792,0.4,2,0.4,4.4,46.842,0.8,1
